Nationality	Applicant_Type	Service_Center	Category	Application_Filed	USCIS_Received_Date	USCIS_Notice_Date	I-140_Filing	Processing_Type	RFE_Received	RFE_Received_Date	Reason_RFE	RFE_Replied_Date	Application_Status	Approval_Denial_Date
Vietnam	primary	Texas	EB2	11/19/10	11/19/10	11/24/10	concurrent	regular	.	.	.	.	approved	2/4/11
India	primary	Texas	EB2	11/19/10	11/22/10	11/24/10	non-concurrent	regular	no	.	.	.	approved	5/16/11
India	primary	Texas	EB2	11/19/10	11/22/10	11/24/10	non-concurrent	premium	no	.	.	.	approved	12/2/10
India	primary	Nebraska	EB2	11/19/10	11/22/10	11/24/10	concurrent	premium	no	.	.	.	approved	12/1/10
India	primary	Texas	EB3	11/18/10	11/18/10	11/24/10	non-concurrent	regular	.	.	.	.	approved	6/7/11
China	primary	Texas	EB2	6/21/10	6/22/10	11/24/10	non-concurrent	regular	no	.	.	.	approved	11/23/10
India	primary	Texas	EB2	11/16/10	11/19/10	11/23/10	non-concurrent	regular	no	.	.	.	approved	6/15/11
Israel	primary	Nebraska	EB2	11/20/10	11/22/10	11/23/10	concurrent	regular	.	.	.	.	approved	5/29/11
India	primary	Texas	EB2	11/12/10	11/15/10	11/23/10	non-concurrent	regular	no	.	.	.	approved	5/12/11
Bangladesh	primary	Texas	EB2-NIW	11/18/10	11/22/10	11/23/10	non-concurrent	regular	no	.	.	.	approved	9/13/11
India	primary	Texas	EB2	11/19/10	11/19/10	11/23/10	non-concurrent	regular	.	.	.	.	approved	5/10/11
India	primary	Nebraska	EB1C	11/18/10	11/22/10	11/23/10	concurrent	regular	.	.	.	.	approved	7/18/11
India	primary	Texas	EB2	11/22/10	11/22/10	11/23/10	non-concurrent	regular	no	.	.	.	approved	6/10/11
India	primary	Nebraska	EB1C	11/19/10	11/19/10	11/23/10	concurrent	regular	no	.	.	.	approved	2/28/11
Japan	primary	Texas	EB2	11/11/10	11/17/10	11/23/10	concurrent	regular	yes	6/18/11	.	7/21/11	pending	.
Canada	primary	Nebraska	EB2	11/18/10	11/19/10	11/23/10	concurrent	regular	.	.	.	.	approved	1/19/11
Pakistan	primary	Texas	EB2	11/22/10	11/23/10	11/23/10	non-concurrent	premium	no	.	.	.	approved	12/10/10
India	primary	Nebraska	EB2	11/19/10	11/22/10	11/23/10	non-concurrent	premium	no	.	.	.	approved	11/24/10
Nepal	primary	Nebraska	EB2	11/18/10	11/19/10	11/23/10	concurrent	regular	.	.	.	.	pending	.
India	primary	Texas	EB3	11/23/10	11/23/10	11/23/10	non-concurrent	premium	yes	2/4/11	Ability to pay. 	.	approved	3/7/11
India	primary	Nebraska	EB2	11/19/10	11/22/10	11/23/10	non-concurrent	premium	.	.	.	.	approved	11/24/10
Nigeria	primary	Texas	EB2-NIW	11/19/10	11/19/10	11/22/10	concurrent	regular	yes	6/6/11	"proof that my work was interna... <a title=""proof that my work was international in scope."" href=""/usa-immigration-trackers/discuss/i140/18625"">more</a>"	10/3/11	approved	12/1/11
Sri Lanka	primary	Nebraska	EB2-NIW	11/12/10	11/18/10	11/22/10	concurrent	regular	no	.	.	.	approved	4/4/11
India	primary	Texas	EB2	11/19/10	11/22/10	11/22/10	non-concurrent	premium	no	.	.	.	approved	11/26/10
Pakistan	primary	Texas	EB2	11/21/10	11/22/10	11/22/10	concurrent	premium	no	.	.	.	approved	12/2/10
India	primary	Texas	EB1A	11/18/10	11/22/10	11/22/10	non-concurrent	premium	no	.	.	.	approved	11/30/10
India	primary	Texas	EB2	11/16/10	11/17/10	11/22/10	non-concurrent	regular	.	.	.	.	pending	.
India	primary	Nebraska	EB2	11/11/10	11/17/10	11/22/10	non-concurrent	regular	yes	2/3/11	"USCIS requested additional evi... <a title=""USCIS requested additional evidence regarding the company&#039;s financial ability to pay the offered wage"" href=""/usa-immigration-trackers/discuss/i140/14628"">more</a>"	3/7/11	approved	3/17/11
India	primary	Nebraska	EB2	11/19/10	11/19/10	11/20/10	non-concurrent	regular	yes	3/7/11	Ability to pay	4/15/11	approved	4/21/11
India	primary	Vermont	EB2	8/1/09	11/13/10	11/19/10	non-concurrent	regular	no	.	.	.	approved	6/1/11
India	primary	Texas	EB1B	11/19/10	11/19/10	11/19/10	non-concurrent	premium	.	.	.	.	approved	1/3/11
Pakistan	primary	Texas	EB3	11/18/10	11/19/10	11/19/10	non-concurrent	premium	no	.	.	.	approved	12/1/10
China	primary	Nebraska	EB2	11/16/10	11/17/10	11/19/10	non-concurrent	regular	no	.	.	.	approved	2/11/11
India	primary	Nebraska	EB2-NIW	11/12/10	11/15/10	11/18/10	non-concurrent	regular	no	.	.	.	approved	2/28/11
India	primary	Nebraska	EB1A	11/4/10	11/8/10	11/18/10	concurrent	regular	yes	1/20/11	"Proof of extraordinary researc... <a title=""Proof of extraordinary researcher"" href=""/usa-immigration-trackers/discuss/i140/16975"">more</a>"	2/19/11	pending	.
India	primary	Texas	EB2	11/17/10	11/18/10	11/18/10	non-concurrent	regular	no	.	.	.	pending	.
India	primary	Nebraska	EB2-NIW	11/15/10	11/18/10	11/18/10	non-concurrent	regular	no	.	.	.	approved	2/28/11
India	primary	Texas	EB3	11/15/10	11/18/10	11/18/10	non-concurrent	premium	.	.	.	.	approved	11/24/10
Philippines	primary	Nebraska	EB2	11/8/10	11/12/10	11/17/10	concurrent	regular	no	.	.	.	approved	6/9/11
United Kingdom	primary	Texas	EB2	11/12/10	11/12/10	11/17/10	concurrent	regular	no	.	.	.	pending	.
France	primary	Texas	EB1C	11/15/10	11/16/10	11/17/10	non-concurrent	regular	no	.	.	.	approved	5/5/11
India	primary	Nebraska	EB2	11/12/10	11/14/10	11/17/10	non-concurrent	premium	yes	12/3/10	"Attorney forgot to attach the ... <a title=""Attorney forgot to attach the experience certificate."" href=""/usa-immigration-trackers/discuss/i140/15296"">more</a>"	12/7/10	approved	12/9/10
India	primary	Texas	EB2	11/12/10	11/15/10	11/17/10	non-concurrent	regular	yes	4/12/11	"No Idea. Attorney took care of... <a title=""No Idea. Attorney took care of it"" href=""/usa-immigration-trackers/discuss/i140/15225"">more</a>"	5/10/11	approved	5/20/11
India	primary	Texas	EB2	11/15/10	11/16/10	11/17/10	non-concurrent	regular	.	.	.	.	approved	5/6/11
India	primary	Nebraska	EB1C	11/12/10	11/16/10	11/16/10	concurrent	regular	no	.	.	.	approved	7/5/11
India	primary	Texas	EB2	11/1/10	11/3/10	11/16/10	concurrent	regular	.	.	.	.	approved	5/16/11
Sri Lanka	primary	Texas	EB2	11/10/10	11/12/10	11/16/10	concurrent	regular	yes	7/14/11	"10/05: NOID Response Sent. 0... <a title=""10/05: NOID Response Sent. 07/14: got a NOID for different criteria, asking to prove my experience (60 mon) and company tax returns. Previous RFE was successfully defended.05/18(RFE 1): USCIS say the position on labor does not need EB2 instead EB3."" href=""/usa-immigration-trackers/discuss/i140/15286"">more</a>"	10/5/11	approved	10/11/11
Nigeria	primary	Texas	EB2-NIW	11/16/10	11/16/10	11/16/10	non-concurrent	regular	.	.	.	.	pending	.
Hong Kong	primary	Nebraska	EB2	11/10/10	11/12/10	11/16/10	concurrent	regular	yes	4/7/11	"2010 W2, 2011 pay stubs, speci... <a title=""2010 W2, 2011 pay stubs, special skills section as listed on PERM."" href=""/usa-immigration-trackers/discuss/i140/15179"">more</a>"	5/3/11	approved	6/8/11
India	primary	Nebraska	EB2	11/10/10	11/16/10	11/16/10	non-concurrent	regular	yes	4/14/11	Provide experience letter	.	approved	6/1/11
Chile	primary	Texas	EB2	11/10/10	11/12/10	11/16/10	concurrent	regular	.	.	.	.	approved	5/14/11
India	primary	Texas	EB2	11/10/10	11/12/10	11/16/10	non-concurrent	premium	yes	11/15/10	Extra documents for MS	11/17/10	approved	11/24/10
India	primary	Texas	EB2	11/15/10	11/15/10	11/15/10	non-concurrent	regular	yes	5/6/11	"Evidence to be submitted that ... <a title=""Evidence to be submitted that the beneficiary has met the 5 years experience as per the PERM"" href=""/usa-immigration-trackers/discuss/i140/22641"">more</a>"	.	approved	6/9/11
India	primary	Texas	EB2	11/10/10	11/12/10	11/15/10	non-concurrent	regular	no	.	.	.	approved	5/6/11
Venezuela	primary	Nebraska	EB2	11/10/10	11/12/10	11/15/10	concurrent	regular	no	.	.	.	approved	4/6/11
Taiwan	primary	Texas	EB2	11/12/10	11/15/10	11/15/10	concurrent	premium	no	.	.	.	approved	11/19/10
India	primary	Texas	EB2	11/11/10	11/15/10	11/15/10	non-concurrent	regular	no	.	.	.	approved	1/28/11
India	primary	Texas	EB2	11/9/10	11/10/10	11/15/10	non-concurrent	regular	no	.	.	.	approved	5/18/11
India	primary	Nebraska	EB2	11/10/10	11/10/10	11/12/10	non-concurrent	regular	yes	4/8/11	"Educational Qualification - ha... <a title=""Educational Qualification - had to justify / prove tat PGDM (Post Graduate Diploma in Management) from an Indian university is euivalent to an MBA."" href=""/usa-immigration-trackers/discuss/i140/15879"">more</a>"	4/26/11	approved	10/19/11
India	primary	Nebraska	EB2	11/10/10	11/12/10	11/12/10	non-concurrent	premium	yes	11/16/10	Ability to Pay	12/22/10	approved	12/27/10
France	primary	Nebraska	EB1C	11/8/10	11/9/10	11/11/10	concurrent	regular	no	.	.	.	approved	7/11/11
India	primary	Nebraska	EB3	10/5/10	10/13/10	11/11/10	non-concurrent	premium	no	.	.	.	approved	11/5/10
Nepal	primary	Nebraska	EB2-NIW	11/6/10	11/10/10	11/10/10	non-concurrent	regular	.	.	.	.	approved	4/14/11
India	primary	Texas	EB1B	11/7/10	11/8/10	11/10/10	concurrent	regular	.	.	.	.	approved	3/4/11
India	primary	Nebraska	EB1C	11/7/10	11/10/10	11/10/10	concurrent	regular	yes	3/3/11	.	5/24/11	approved	6/1/11
India	primary	Texas	EB3	11/4/10	11/4/10	11/9/10	non-concurrent	premium	yes	8/23/11	"A2PEducational and Experienc... <a title=""A2PEducational and Experience Letter2010 company tax returns"" href=""/usa-immigration-trackers/discuss/i140/16548"">more</a>"	8/31/11	approved	10/26/11
Mexico	primary	Nebraska	EB2	11/7/10	11/8/10	11/9/10	concurrent	premium	no	.	.	.	approved	11/15/10
India	primary	Nebraska	EB2	11/7/10	11/8/10	11/9/10	non-concurrent	premium	no	.	.	.	approved	11/12/10
India	primary	Nebraska	EB1B	10/25/10	11/5/10	11/8/10	non-concurrent	regular	no	.	.	.	approved	2/16/11
India	primary	Texas	EB1B	11/7/10	11/8/10	11/8/10	concurrent	regular	no	.	.	.	approved	7/19/11
Malaysia	primary	Nebraska	EB2	10/28/10	11/8/10	11/8/10	non-concurrent	regular	no	.	.	.	approved	2/9/11
Russia	primary	Texas	EB2	11/2/10	11/3/10	11/8/10	concurrent	regular	.	.	.	.	approved	3/4/11
Pakistan	primary	Texas	EB2	10/28/10	10/28/10	11/8/10	non-concurrent	regular	.	.	.	.	approved	3/8/10
China	primary	Texas	EB1A	11/4/10	11/5/10	11/5/10	concurrent	regular	yes	7/22/11	"the IO questioned most criteri... <a title=""the IO questioned most criteria. only agreed with 1 out of 5, asked for more evidence and/or letters."" href=""/usa-immigration-trackers/discuss/i140/17723"">more</a>"	10/17/11	approved	10/26/11
France	primary	Nebraska	EB2	10/25/10	10/28/10	11/5/10	concurrent	regular	yes	3/18/11	"Submit evidence for M.B.A equi... <a title=""Submit evidence for M.B.A equivalency"" href=""/usa-immigration-trackers/discuss/i140/16333"">more</a>"	4/26/11	approved	5/5/11
India	primary	Nebraska	EB2	10/29/10	11/4/10	11/5/10	concurrent	regular	.	.	.	.	approved	2/23/11
India	primary	Texas	EB2-NIW	11/1/10	11/5/10	11/5/10	concurrent	regular	no	.	.	.	approved	8/8/11
India	primary	Texas	EB2	10/29/10	11/12/10	11/4/10	non-concurrent	regular	no	.	.	.	approved	5/4/11
India	primary	Nebraska	EB2	8/18/10	8/25/10	11/4/10	non-concurrent	regular	no	.	.	.	approved	11/17/10
India	primary	Texas	EB1C	10/25/10	10/29/10	11/4/10	non-concurrent	regular	no	.	.	.	approved	7/29/11
China	primary	Texas	EB2-NIW	10/24/10	10/26/10	11/4/10	non-concurrent	regular	.	.	.	.	pending	.
India	primary	Texas	EB2	10/30/10	11/1/10	11/4/10	non-concurrent	premium	.	.	.	.	approved	5/24/11
India	primary	Texas	EB1C	11/2/10	11/2/10	11/4/10	concurrent	regular	.	.	.	.	approved	6/16/11
India	primary	Nebraska	EB2	11/28/10	11/29/10	11/4/10	non-concurrent	premium	.	.	.	.	approved	12/16/10
India	primary	Texas	EB2	8/25/10	8/26/10	11/4/10	non-concurrent	premium	.	.	.	.	approved	11/10/10
India	primary	Texas	EB1C	11/1/10	11/3/10	11/3/10	concurrent	regular	yes	7/29/11	Clarification on travel dates	8/26/11	approved	1/3/12
South Korea	primary	Texas	EB2-NIW	11/1/10	11/1/10	11/3/10	concurrent	regular	.	.	.	.	approved	3/15/11
South Korea	primary	Texas	EB2	10/28/10	11/1/10	11/3/10	concurrent	regular	yes	5/14/11	employer&#039;s ability to pay	6/6/11	approved	6/23/11
India	primary	Nebraska	EB2	10/29/10	11/2/10	11/3/10	non-concurrent	premium	.	.	.	.	approved	1/21/11
Ukraine	primary	Nebraska	EB2	10/28/10	10/29/10	11/3/10	concurrent	premium	no	.	.	.	approved	11/16/10
India	primary	Texas	EB2-NIW	11/1/10	11/1/10	11/1/10	non-concurrent	regular	yes	10/21/11	"Generic RFE, 3rd prong, asked ... <a title=""Generic RFE, 3rd prong, asked why not through job &amp; LC"" href=""/usa-immigration-trackers/discuss/i140/15895"">more</a>"	1/14/12	approved	1/20/12
India	primary	Texas	EB2	10/22/10	10/26/10	11/1/10	non-concurrent	regular	no	.	.	.	approved	5/6/11
India	primary	Nebraska	EB2	10/21/10	10/26/10	11/1/10	non-concurrent	regular	no	.	.	.	approved	1/27/11
India	primary	Texas	EB2	10/22/10	10/27/10	10/29/10	non-concurrent	premium	.	.	.	.	approved	4/18/11
Malaysia	primary	Nebraska	EB3	10/27/10	10/28/10	10/29/10	non-concurrent	regular	.	.	.	.	approved	1/18/11
India	primary	Nebraska	EB2	10/4/10	10/27/10	10/28/10	non-concurrent	premium	yes	10/29/10	.	12/1/10	approved	12/13/10
Kenya	primary	Texas	EB2	10/20/10	10/22/10	10/28/10	concurrent	regular	.	.	.	.	approved	4/26/11
Russia	primary	Texas	EB2	10/22/10	10/25/10	10/28/10	concurrent	regular	no	.	.	.	approved	3/4/11
Taiwan	primary	Nebraska	EB2	10/22/10	10/25/10	10/28/10	concurrent	regular	.	.	.	.	approved	2/10/11
India	primary	Texas	EB1C	10/27/10	10/27/10	10/27/10	concurrent	regular	no	.	.	.	approved	3/4/11
India	primary	Texas	EB2	10/21/10	10/25/10	10/27/10	non-concurrent	premium	.	.	.	.	approved	1/27/11
Germany	primary	Nebraska	EB2	10/25/10	10/26/10	10/27/10	concurrent	regular	no	.	.	.	approved	2/4/11
Vietnam	primary	Texas	EB3	10/25/10	10/26/10	10/26/10	non-concurrent	regular	no	.	.	.	approved	9/8/11
Russia	primary	Texas	EB2-NIW	10/25/10	10/25/10	10/26/10	concurrent	regular	.	.	.	.	approved	9/6/11
Philippines	primary	Nebraska	EB2	10/16/10	10/18/10	10/26/10	concurrent	regular	yes	3/3/11	rfe 	4/5/11	approved	4/11/11
India	primary	Texas	EB2	10/19/10	10/20/10	10/26/10	concurrent	regular	.	.	.	.	approved	2/21/11
South Africa	primary	Nebraska	EB3	8/5/10	8/9/10	10/25/10	non-concurrent	regular	no	.	.	.	approved	10/25/10
Pakistan	primary	Nebraska	EB1A	10/18/10	10/22/10	10/22/10	non-concurrent	regular	yes	2/22/11	.	3/9/11	denied	8/8/11
China	primary	Texas	EB2	10/21/10	10/22/10	10/22/10	non-concurrent	regular	no	.	.	.	approved	5/6/11
Algeria	primary	Texas	EB2	10/6/10	10/7/10	10/22/10	concurrent	regular	yes	3/7/10	.	.	pending	.
India	primary	Texas	EB2	10/21/10	10/21/10	10/21/10	non-concurrent	premium	yes	1/19/11	"Submit evidence that the benef... <a title=""Submit evidence that the beneficiary met the five-year (5) experience requirement in computer information systems or computer science or computer application per the labor certification on or before August 13, 2010, the priority date.  The evidence submit"" href=""/usa-immigration-trackers/discuss/i140/15055"">more</a>"	2/11/11	approved	2/16/11
Taiwan	primary	Nebraska	EB2	10/6/10	10/13/10	10/20/10	concurrent	regular	.	.	.	.	pending	.
Canada	primary	Texas	EB2	10/18/10	10/19/10	10/20/10	concurrent	regular	.	.	.	.	approved	4/1/11
India	primary	Nebraska	EB2	10/19/10	10/20/10	10/20/10	non-concurrent	regular	no	.	.	.	pending	.
Taiwan	primary	Nebraska	EB2	10/13/10	10/18/10	10/20/10	concurrent	regular	.	.	.	.	pending	.
India	primary	Texas	EB1A	10/14/10	10/19/10	10/20/10	non-concurrent	premium	no	.	.	.	approved	10/27/10
Mexico	primary	Nebraska	EB2	10/15/10	10/15/10	10/20/10	concurrent	regular	no	.	.	.	approved	2/11/11
India	primary	Texas	EB2	10/15/10	10/19/10	10/19/10	non-concurrent	regular	no	.	.	.	approved	5/20/11
Brazil	primary	Texas	EB2	10/13/10	10/14/10	10/19/10	concurrent	regular	no	.	.	.	approved	2/23/11
India	primary	Texas	EB3	10/18/10	10/19/10	10/19/10	non-concurrent	regular	no	.	.	.	approved	5/23/11
India	primary	Texas	EB1B	10/1/10	10/4/10	10/18/10	concurrent	regular	no	.	NA	.	approved	3/8/11
Nepal	primary	Texas	EB1C	9/28/10	10/18/10	10/18/10	non-concurrent	regular	no	.	.	.	approved	3/30/11
India	primary	Texas	EB2	10/5/10	10/8/10	10/18/10	non-concurrent	regular	no	.	.	.	approved	5/16/11
Germany	primary	Texas	EB1A	10/15/10	10/15/10	10/18/10	concurrent	regular	.	.	.	.	approved	7/5/11
India	primary	Texas	EB2	10/14/10	10/14/10	10/18/10	non-concurrent	regular	.	.	.	.	approved	1/19/11
Canada	primary	Nebraska	EB2	10/10/10	10/14/10	10/17/10	non-concurrent	premium	no	.	.	.	approved	10/24/10
Philippines	primary	Nebraska	EB2	10/12/10	10/14/10	10/17/10	concurrent	regular	yes	2/9/11	"Ability to pay, evidence of pr... <a title=""Ability to pay, evidence of previous employment, all other I-140 filings by the company"" href=""/usa-immigration-trackers/discuss/i140/15235"">more</a>"	3/23/11	approved	3/29/11
India	primary	Vermont	EB2	8/5/10	8/10/10	10/15/10	non-concurrent	regular	no	.	.	.	approved	10/15/10
India	primary	Texas	EB2	10/1/10	10/4/10	10/15/10	concurrent	regular	.	.	.	.	approved	3/10/11
South Korea	primary	Texas	EB2	9/7/10	10/14/10	10/15/10	concurrent	regular	no	.	.	.	pending	.
India	primary	California	EB2	10/14/10	10/15/10	10/15/10	non-concurrent	regular	yes	2/3/11	"Experience letters &amp; compa... <a title=""Experience letters &amp; company ability to Pay"" href=""/usa-immigration-trackers/discuss/i140/15063"">more</a>"	3/14/11	approved	3/25/11
Philippines	primary	Texas	EB2	10/12/10	10/13/10	10/15/10	non-concurrent	regular	no	.	.	.	approved	5/19/11
India	primary	Texas	EB1C	10/6/10	10/12/10	10/15/10	non-concurrent	regular	no	.	.	.	approved	7/11/11
India	primary	Texas	EB2	7/21/10	7/26/10	10/15/10	non-concurrent	regular	.	.	.	.	approved	10/21/10
India	primary	Nebraska	EB2	8/25/10	8/27/10	10/14/10	non-concurrent	regular	yes	9/13/10	"Experience from previous emplo... <a title=""Experience from previous employer."" href=""/usa-immigration-trackers/discuss/i140/16725"">more</a>"	10/13/10	approved	10/14/10
India	primary	Texas	EB2	10/10/10	10/13/10	10/14/10	non-concurrent	regular	no	.	.	.	approved	5/5/11
United Kingdom	primary	Texas	EB1C	10/1/10	10/6/10	10/14/10	concurrent	regular	yes	5/18/11	"A2P, relationship between US a... <a title=""A2P, relationship between US and Uk company, proof of doing business, more detail on job role"" href=""/usa-immigration-trackers/discuss/i140/15486"">more</a>"	6/14/11	approved	7/25/11
South Korea	primary	Nebraska	EB2	10/1/10	10/5/10	10/14/10	concurrent	regular	no	.	.	.	approved	1/12/11
Philippines	primary	Texas	EB2	10/8/10	10/14/10	10/14/10	concurrent	regular	no	.	.	.	approved	1/17/11
Canada	primary	Texas	EB3	9/28/10	9/29/10	10/14/10	non-concurrent	regular	.	.	.	.	pending	.
Indonesia	primary	Nebraska	EB2	10/8/10	10/8/10	10/14/10	concurrent	regular	.	.	.	.	approved	1/31/11
India	primary	Texas	EB2	10/10/10	10/12/10	10/14/10	non-concurrent	premium	no	.	.	.	approved	10/21/10
India	primary	Dallas	EB2	10/13/10	10/14/10	10/14/10	non-concurrent	premium	no	.	.	.	approved	10/20/10
India	primary	Nebraska	EB2	10/13/10	10/14/10	10/14/10	non-concurrent	premium	no	.	.	.	approved	10/15/10
China	primary	Texas	EB2	10/12/10	10/13/10	10/13/10	non-concurrent	regular	.	.	.	.	approved	8/4/11
India	primary	Texas	EB2	10/13/10	10/13/10	10/13/10	non-concurrent	regular	no	.	.	.	approved	5/16/11
India	primary	Nebraska	EB2	9/27/10	9/29/10	10/13/10	non-concurrent	regular	.	.	.	.	approved	12/21/10
India	primary	Texas	EB2	10/1/10	10/1/10	10/13/10	non-concurrent	regular	yes	5/10/11	"60 months Experience letters w... <a title=""60 months Experience letters with job descriptions."" href=""/usa-immigration-trackers/discuss/i140/14957"">more</a>"	6/8/11	approved	6/20/11
India	primary	Texas	EB2	10/11/10	10/12/10	10/13/10	non-concurrent	premium	yes	11/9/10	"USCIS is asking for experience... <a title=""USCIS is asking for experience verification from employer. I had provided experience verification from client manager for one of my projects"" href=""/usa-immigration-trackers/discuss/i140/14947"">more</a>"	12/1/10	approved	12/2/10
India	primary	Vermont	EB2	10/10/10	10/12/10	10/12/10	non-concurrent	premium	yes	5/15/11	"Mistake in Paystubs, Company&#... <a title=""Mistake in Paystubs, Company&#039;s financial information, timesheets"" href=""/usa-immigration-trackers/discuss/i140/18528"">more</a>"	5/20/11	approved	5/27/11
India	primary	Texas	EB1C	10/7/10	10/7/10	10/12/10	non-concurrent	regular	.	.	.	.	pending	.
China	primary	Texas	EB2-NIW	10/10/10	10/12/10	10/12/10	non-concurrent	regular	yes	8/28/11	"general RFE, many people got R... <a title=""general RFE, many people got RFE after about a year of waiting"" href=""/usa-immigration-trackers/discuss/i140/15094"">more</a>"	.	approved	2/1/12
India	primary	Texas	EB2	10/8/10	10/8/10	10/12/10	non-concurrent	regular	no	.	.	.	approved	4/27/11
Philippines	primary	Texas	EB2	10/7/10	10/8/10	10/12/10	concurrent	regular	.	.	.	.	approved	1/23/11
Russia	primary	Texas	EB2	10/8/10	10/12/10	10/12/10	concurrent	premium	.	.	.	.	approved	10/14/10
India	primary	Texas	EB3	10/1/10	10/6/10	10/10/10	non-concurrent	premium	no	.	.	.	approved	10/10/10
Nepal	primary	Texas	EB2	10/4/10	10/6/10	10/8/10	non-concurrent	regular	.	.	.	.	approved	7/25/11
India	primary	Texas	EB2	10/8/10	10/8/10	10/8/10	non-concurrent	regular	no	.	.	.	approved	6/2/11
Albania	primary	Dallas	EB2	10/7/10	10/8/10	10/8/10	concurrent	premium	no	.	.	.	approved	10/14/10
India	primary	Texas	EB1C	10/7/10	10/8/10	10/8/10	non-concurrent	regular	no	.	.	.	approved	5/2/11
India	primary	Texas	EB2	10/1/10	10/4/10	10/7/10	non-concurrent	premium	no	.	.	.	approved	3/10/11
India	primary	Texas	EB2	10/1/10	10/7/10	10/7/10	non-concurrent	premium	no	.	.	.	approved	10/15/10
India	primary	Nebraska	EB2	10/5/10	10/7/10	10/7/10	non-concurrent	premium	yes	10/19/10	Experience Letters	11/26/10	approved	11/29/10
India	primary	Texas	EB2	10/5/10	10/6/10	10/7/10	non-concurrent	premium	.	.	.	.	approved	3/7/11
India	primary	Texas	EB2	10/5/10	10/5/10	10/6/10	non-concurrent	regular	yes	4/30/11	"evidence for pay stub , w2o an... <a title=""evidence for pay stub , w2o and transcript and financial statement of org"" href=""/usa-immigration-trackers/discuss/i140/15885"">more</a>"	5/18/11	approved	5/29/11
India	primary	Nebraska	EB2-NIW	10/1/10	10/4/10	10/6/10	non-concurrent	regular	no	.	.	.	approved	3/8/11
Nepal	primary	Texas	EB3	10/3/10	10/4/10	10/6/10	non-concurrent	regular	.	.	.	.	approved	5/3/11
Japan	primary	Texas	EB2-NIW	9/29/10	10/6/10	10/6/10	non-concurrent	regular	no	.	.	.	approved	11/18/10
Taiwan	primary	Nebraska	EB2-NIW	10/6/10	10/6/10	10/6/10	concurrent	regular	no	.	.	.	approved	10/27/10
Philippines	primary	Nebraska	EB2	9/20/10	9/21/10	10/5/10	concurrent	regular	no	.	.	.	approved	1/12/11
India	primary	Texas	EB2	9/30/10	9/30/10	10/5/10	non-concurrent	regular	.	.	.	.	approved	5/17/11
France	primary	Nebraska	EB2	10/1/10	10/5/10	10/5/10	concurrent	regular	.	.	.	.	approved	1/10/11
India	primary	Texas	EB2	9/10/10	9/27/10	10/5/10	non-concurrent	premium	.	.	.	.	approved	10/5/10
China	primary	Texas	EB2-NIW	9/24/10	9/30/10	10/4/10	non-concurrent	regular	yes	8/16/11	6 lettersmore citations	11/9/11	approved	11/18/11
Nigeria	primary	Texas	EB2-NIW	9/28/10	9/29/10	10/4/10	non-concurrent	regular	no	.	.	.	approved	4/18/11
Taiwan	primary	Texas	EB2	9/27/10	9/29/10	10/4/10	concurrent	regular	no	.	.	.	approved	1/19/11
India	primary	Texas	EB1A	10/1/10	10/1/10	10/4/10	non-concurrent	regular	.	.	.	.	approved	9/20/11
India	primary	Texas	EB2	9/27/10	10/4/10	10/4/10	non-concurrent	regular	yes	5/6/11	"A2P, list of all petitions app... <a title=""A2P, list of all petitions applied this year, W2, recent pay stub."" href=""/usa-immigration-trackers/discuss/i140/14998"">more</a>"	6/7/11	approved	7/6/11
India	primary	Texas	EB2	9/29/10	10/4/10	10/4/10	non-concurrent	premium	yes	10/14/10	"Proof for the Employer&#039;s ... <a title=""Proof for the Employer&#039;s Ability to Pay"" href=""/usa-immigration-trackers/discuss/i140/14978"">more</a>"	10/25/10	approved	11/1/10
Russia	primary	Texas	EB2	10/1/10	10/4/10	10/4/10	concurrent	premium	yes	10/13/10	ability to pay the wage	10/20/10	approved	11/16/10
India	primary	Nebraska	EB2	10/1/10	10/4/10	10/4/10	non-concurrent	premium	no	.	.	.	approved	10/11/10
Dominican Republic	primary	Texas	EB2	9/15/10	9/17/10	10/4/10	concurrent	regular	yes	1/14/11	"Bility to pay, previous w-2, p... <a title=""Bility to pay, previous w-2, petiotioner tax retursn"" href=""/usa-immigration-trackers/discuss/i140/14943"">more</a>"	1/22/11	approved	2/15/11
India	primary	Texas	EB3	9/16/10	9/28/10	10/3/10	non-concurrent	regular	yes	5/2/11	"one section wasn&#039;t filled... <a title=""one section wasn&#039;t filled..so the rfe"" href=""/usa-immigration-trackers/discuss/i140/14820"">more</a>"	5/11/11	approved	5/18/11
Argentina	primary	Texas	EB1C	9/20/10	10/2/10	10/2/10	concurrent	regular	yes	6/27/11	"qulifying relationship, employ... <a title=""qulifying relationship, employees W2s forms, ability to pay salary and more"" href=""/usa-immigration-trackers/discuss/i140/16644"">more</a>"	7/27/11	approved	8/17/11
Philippines	primary	Nebraska	EB2	9/24/10	9/27/10	10/2/10	concurrent	regular	no	.	.	.	approved	1/25/11
Poland	primary	Nebraska	EB2-NIW	9/28/10	9/29/10	10/2/10	non-concurrent	regular	no	.	.	.	approved	11/9/10
South Korea	primary	Texas	EB2-NIW	9/16/10	9/16/10	10/1/10	concurrent	regular	yes	5/13/11	Don&#039;t know yet.	.	pending	.
India	primary	Texas	EB2	10/1/10	10/1/10	10/1/10	non-concurrent	regular	.	.	.	.	approved	4/26/11
