Nationality	Applicant_Type	Service_Center	Category	Application_Filed	USCIS_Received_Date	USCIS_Notice_Date	I-140_Filing	Processing_Type	RFE_Received	RFE_Received_Date	Reason_RFE	RFE_Replied_Date	Application_Status	Approval_Denial_Date
India	primary	Nebraska	EB2	4/12/07	5/15/07	.	non-concurrent	premium	no	.	.	.	approved	6/9/07
India	primary	Texas	EB3	8/16/07	8/17/07	.	concurrent	regular	yes	8/2/09	.	8/26/09	pending	.
India	primary	Nebraska	EB2	1/1/07	.	.	non-concurrent	regular	no	.	.	.	approved	6/5/07
India	primary	Nebraska	EB1C	3/20/09	3/23/09	.	concurrent	regular	no	.	.	.	approved	9/14/09
India	primary	Texas	EB3	10/6/06	10/6/06	.	non-concurrent	regular	no	.	.	.	approved	7/16/07
India	.	Texas	EB3	.	5/7/08	.	non-concurrent	regular	no	.	.	.	pending	.
India	primary	Nebraska	EB3	7/1/07	7/5/07	.	concurrent	regular	no	.	.	.	approved	1/9/09
Romania	primary	Texas	EB2	10/4/07	10/8/07	.	concurrent	regular	no	.	.	.	approved	7/7/09
India	primary	Nebraska	EB2	2/25/09	2/26/09	.	non-concurrent	regular	no	.	.	.	approved	5/19/09
China	primary	Texas	EB2-NIW	6/23/08	6/23/08	.	non-concurrent	regular	no	.	.	.	approved	6/24/09
India	.	Texas	EB2	5/25/07	5/29/07	.	non-concurrent	regular	no	.	.	.	pending	.
China	primary	Nebraska	EB1A	8/18/08	8/20/08	.	concurrent	regular	yes	6/12/09	.	7/7/09	approved	7/29/09
Mexico	primary	Texas	EB1A	7/12/07	7/16/07	.	non-concurrent	regular	no	.	.	.	approved	7/30/09
Iran	primary	Texas	EB2	3/20/09	3/23/09	.	non-concurrent	regular	yes	6/11/09	"W2 and all pay checks and depo... <a title=""W2 and all pay checks and deposit slips ..."" href=""/usa-immigration-trackers/discuss/i140/11745"">more</a>"	7/6/09	approved	7/20/09
India	primary	Vermont	EB3	5/16/07	5/16/07	.	non-concurrent	regular	no	.	.	.	approved	2/28/09
India	primary	Texas	EB3	8/5/08	8/8/08	.	non-concurrent	regular	no	.	.	.	approved	1/28/09
India	primary	Texas	EB2	6/27/08	6/27/08	.	non-concurrent	regular	no	.	.	.	approved	8/27/08
India	primary	Nebraska	EB3	7/16/07	7/17/07	.	concurrent	regular	no	.	.	.	approved	2/7/09
India	primary	Texas	EB3	9/20/07	10/1/07	.	non-concurrent	regular	no	.	.	.	approved	6/4/08
India	primary	Nebraska	EB2	1/11/08	1/11/08	.	non-concurrent	regular	no	.	.	.	approved	6/24/09
Germany	primary	Nebraska	EB3	5/1/08	5/1/08	.	concurrent	regular	yes	3/26/09	"- Ability to pay- Education ... <a title=""- Ability to pay- Education verification- Work experience lettersPls note: UCIS made a mistake and asked for Masters Degree AND Work experience while in LC eployer requested either Degree or Work experience, we gave them both just in case..."" href=""/usa-immigration-trackers/discuss/i140/11773"">more</a>"	6/19/09	approved	6/24/09
India	primary	Nebraska	EB3	9/2/07	.	.	non-concurrent	regular	no	.	.	.	approved	3/10/09
China	primary	Texas	EB2	8/13/07	8/13/07	.	concurrent	regular	yes	5/12/09	A2P	6/12/09	approved	6/19/09
Philippines	primary	Nebraska	EB3	3/2/07	3/3/07	.	concurrent	regular	no	.	.	.	approved	1/9/09
Japan	primary	Nebraska	EB3	6/4/08	.	.	non-concurrent	regular	no	.	.	.	approved	6/15/09
China	.	California	EB3	3/7/08	.	.	non-concurrent	regular	no	.	.	.	pending	.
India	primary	Texas	EB2-NIW	8/16/07	.	.	concurrent	regular	yes	4/29/09	Eligibility for NIW	5/28/09	approved	6/15/09
Philippines	primary	Nebraska	EB3	11/20/08	11/12/08	.	non-concurrent	regular	yes	4/9/09	"- Experience that I have the s... <a title=""- Experience that I have the skills or minimum.- Employer can support me- Employer Tax Number does not Match.. (Fragomen&#039;s fault probably)- W2"" href=""/usa-immigration-trackers/discuss/i140/10746"">more</a>"	5/22/09	approved	6/14/09
United Kingdom	primary	Nebraska	EB3	10/25/07	10/31/07	.	non-concurrent	regular	yes	5/19/09	"Missing signatures on ETA-9089... <a title=""Missing signatures on ETA-9089 (don&#039;t ask)"" href=""/usa-immigration-trackers/discuss/i140/11413"">more</a>"	6/4/09	approved	6/11/09
Indonesia	primary	Nebraska	EB3	5/1/07	5/7/07	.	non-concurrent	regular	no	.	.	.	approved	6/8/09
Canada	primary	Nebraska	EB3	4/7/08	4/8/08	.	non-concurrent	regular	no	.	.	.	approved	6/6/09
Japan	primary	Nebraska	EB3	7/14/07	7/15/07	.	concurrent	regular	yes	4/20/09	"Company&#039;s ability to pay,... <a title=""Company&#039;s ability to pay, proof of training (thank God it was not for education requirement)"" href=""/usa-immigration-trackers/discuss/i140/11221"">more</a>"	2/25/09	denied	4/20/09
Kazakhstan	primary	Texas	EB2	3/17/09	3/19/09	.	concurrent	regular	no	.	.	.	approved	5/18/09
Kenya	primary	Nebraska	EB3	12/28/07	1/17/08	.	non-concurrent	regular	no	.	.	.	approved	3/23/09
Ireland	primary	Texas	EB1A	8/15/08	8/21/08	.	non-concurrent	regular	yes	4/23/09	"Officer 1154 contests all but ... <a title=""Officer 1154 contests all but one of the 3/10 categories."" href=""/usa-immigration-trackers/discuss/i140/10859"">more</a>"	5/15/09	approved	5/26/09
Malaysia	primary	Nebraska	EB3	6/20/07	7/7/07	.	concurrent	regular	no	.	.	.	approved	11/5/08
China	primary	Nebraska	EB1B	9/22/08	9/23/08	.	concurrent	regular	no	.	.	.	approved	5/15/09
India	primary	Texas	EB2	10/12/08	10/17/08	.	non-concurrent	regular	yes	12/12/08	.	12/30/08	approved	1/12/09
India	primary	Nebraska	EB3	8/13/07	.	.	concurrent	regular	yes	2/5/09	"education and experience lette... <a title=""education and experience letters"" href=""/usa-immigration-trackers/discuss/i140/11770"">more</a>"	3/18/09	denied	5/19/09
Philippines	primary	Nebraska	EB2	11/20/08	11/21/08	.	concurrent	regular	no	.	.	.	approved	4/19/09
India	primary	Texas	EB3	11/14/08	11/17/08	.	non-concurrent	regular	no	.	.	.	approved	3/20/09
India	primary	Nebraska	EB3	7/13/07	7/23/07	.	non-concurrent	regular	no	.	.	.	approved	3/12/09
France	primary	Texas	EB3	12/18/07	12/20/07	.	concurrent	regular	no	.	.	.	approved	5/13/09
India	primary	Nebraska	EB1C	5/15/07	5/22/08	.	concurrent	regular	yes	.	.	4/10/09	approved	4/24/09
India	.	Nebraska	EB2	.	4/22/08	.	non-concurrent	regular	no	.	.	.	pending	.
China	primary	Texas	EB1B	6/30/08	6/30/08	.	concurrent	regular	no	.	.	.	approved	5/8/09
India	primary	Texas	EB2	1/21/09	1/27/09	.	non-concurrent	regular	no	.	.	.	approved	2/14/09
Canada	.	Texas	EB1A	.	9/11/07	.	concurrent	regular	no	.	.	.	pending	.
